#"Step","Potential Energy (kJ/mole)","Temperature (K)"
78000,-1302676.236385274,307.75985098942425
78500,-1302675.9742025256,504.7957343472974
79000,-1302680.5396209229,425.95111252953933
79500,-1302710.9987680805,454.61104458613244
80000,-1302703.063549208,372.63014482115034
80500,-1302673.4193441214,378.80245167216214
81000,-1302713.5889623195,449.05117649294056
81500,-1302717.4298801,367.6114028642473
82000,-1302706.1025436388,288.3056751480848
82500,-1302697.7481821221,317.9328534926951
83000,-1302697.213149451,288.9465171471591
83500,-1302702.9901029652,331.10464619675025
84000,-1302705.9298463615,352.9932891133895
84500,-1302691.3670999778,413.4494362619237
85000,-1302698.3908777467,332.2281531937699
85500,-1302708.6372496923,366.33404320167716
86000,-1302717.6823331763,304.9063197015757
86500,-1302725.3516672247,223.98776570590107
87000,-1302713.440197245,356.24481610730794
87500,-1302692.2650227405,401.6970898916636
88000,-1302692.8042094545,440.3656623613795
88500,-1302682.5317390738,333.7789408980127
89000,-1302715.559527121,361.23445225606656
89500,-1302704.027570979,393.43861708554823
90000,-1302740.3702918873,443.60112886551804
90500,-1302708.1562388565,531.8985248085579
91000,-1302712.944659865,421.0123601365904
91500,-1302672.4571500453,443.6087357631756
92000,-1302685.1311169572,476.12449102575977
92500,-1302690.4638871131,521.4156283112802
93000,-1302685.9541370864,363.0881122083256
93500,-1302675.4383919758,295.38834391516184
94000,-1302730.7138409035,557.5522153698854
94500,-1302683.2838976765,426.16883125860625
95000,-1302686.4890808673,444.8122418983626
95500,-1302653.9968600343,429.66360603009207
96000,-1302711.8537723946,399.229727458886
96500,-1302683.5747646764,408.5571366695468
97000,-1302715.4325073655,433.36291193434903
97500,-1302707.6850607933,299.5582500228594
98000,-1302727.6108525214,334.96983797598057
98500,-1302701.183896656,311.8435826950652
99000,-1302711.8646664035,257.3884579286355
99500,-1302736.355927876,267.8294008831305
100000,-1302711.7458227368,308.0868269571266
100500,-1302719.8380979376,287.09585412963094
101000,-1302702.131214962,380.63177944286474
101500,-1302697.6814856557,419.3808130271035
102000,-1302683.7711520796,387.889521470787
102500,-1302690.5547904377,401.446075354703
103000,-1302677.0628507708,391.2003222547077
103500,-1302697.4674913925,428.48314098392257
104000,-1302693.5474924634,393.11408671939466
104500,-1302687.4049018284,322.05750781243756
105000,-1302699.7151113497,394.57657124261306
105500,-1302701.954338115,324.2649142477312
106000,-1302704.2573840786,461.66667279586875
106500,-1302679.6476355463,430.62540297093176
107000,-1302683.6581801327,367.7053899987697
107500,-1302680.4000842876,429.54020577094235
108000,-1302665.0801503551,411.61806954629145
108500,-1302691.110293452,428.90818189524504
109000,-1302695.7958979802,471.76023058459015
109500,-1302687.6443260151,473.7505601486689
110000,-1302711.8212847055,416.3615409712113
110500,-1302725.1364067537,361.3239087415011
111000,-1302696.3906480856,285.3682636611816
111500,-1302715.2039912154,390.9747966428747
112000,-1302682.3018517548,353.8529274862737
112500,-1302702.8127989566,389.75197346179215
113000,-1302673.2403816264,371.25037816516067
113500,-1302696.6695395606,541.1540098587869
114000,-1302656.2828029105,462.339366692408
114500,-1302684.831176812,512.6567588312073
115000,-1302653.708127964,431.33308886539277
115500,-1302690.2001697414,517.0347194751035
116000,-1302630.1371163526,330.71863749663663
116500,-1302667.7164088134,420.94520604268746
117000,-1302669.8117014233,360.68279977846686
117500,-1302700.1471078785,511.32810842308186
118000,-1302709.172107378,483.208994807713
118500,-1302691.392701667,436.5236172190781
119000,-1302701.5997793071,505.92470969728697
119500,-1302691.2668787022,476.37369114328345
120000,-1302685.8940652285,411.56759509095804
120500,-1302695.1344827989,506.2831789083453
121000,-1302705.0764188624,440.88172290861854
121500,-1302713.5928478318,399.15812618565656
122000,-1302708.3450245615,391.4289537845251
122500,-1302706.38857752,394.4831484021576
123000,-1302698.4030571363,403.68116154007606
123500,-1302694.9677363485,310.37783709798515
124000,-1302731.779817981,438.07081994762535
124500,-1302729.997577343,425.47393899858855
125000,-1302684.3516190737,353.6952409615645
125500,-1302711.8952997373,448.0186181904425
126000,-1302701.4054460365,377.29800639928584
126500,-1302680.4348946225,425.8088250446325
127000,-1302707.3867149863,525.4189196295674
127500,-1302707.132159481,474.04357892686534
128000,-1302700.3034989964,447.3339902208667
128500,-1302715.785147755,490.30919823749764
129000,-1302669.0017024996,389.86305078497094
129500,-1302676.9577987948,481.68223753034715
130000,-1302697.6568337115,340.4381659030723
130500,-1302697.7348683844,406.99463774628714
131000,-1302700.7707102783,294.815826858617
131500,-1302730.0230152672,394.1160082800045
132000,-1302706.894562174,340.63387512751353
132500,-1302723.9147053382,393.18369518142924
133000,-1302733.581772909,420.36587674250376
133500,-1302678.3727852872,422.81052788486056
134000,-1302678.4948927027,351.0086296614538
134500,-1302688.6690196537,511.749719309413
135000,-1302684.715330496,439.731122972322
135500,-1302675.9240975291,377.6756520611744
136000,-1302686.2463978636,394.7621979133539
136500,-1302705.1604232888,547.4526197153683
137000,-1302709.8411062458,491.91691972803017
137500,-1302675.131774679,425.1278542310806
138000,-1302683.2680035385,420.0776541685033
138500,-1302687.9232000185,339.16334191730743
