Step Range,Steps,Time (seconds),Time per Step (seconds)
385000-385500,500,24.5160,0.049032
385500-386000,500,25.2080,0.050416
386000-386500,500,24.6624,0.049325
386500-387000,500,27.4923,0.054985
387000-387500,500,29.4262,0.058852
387500-388000,500,32.0540,0.064108
388000-388500,500,26.5797,0.053159
388500-389000,500,26.3858,0.052772
389000-389500,500,29.9104,0.059821
389500-390000,500,29.0425,0.058085
390000-390500,500,29.1266,0.058253
390500-391000,500,34.0712,0.068142
391000-391500,500,36.0512,0.072102
391500-392000,500,38.3762,0.076752
392000-392500,500,30.2549,0.060510
392500-393000,500,28.2943,0.056589
393000-393500,500,29.6749,0.059350
393500-394000,500,29.8218,0.059644
394000-394500,500,27.8505,0.055701
394500-395000,500,24.9147,0.049829
395000-395500,500,28.6974,0.057395
395500-396000,500,23.5923,0.047185
396000-396500,500,24.9162,0.049832
396500-397000,500,31.3574,0.062715
397000-397500,500,32.3035,0.064607
397500-398000,500,28.2150,0.056430
398000-398500,500,27.5309,0.055062
398500-399000,500,31.2092,0.062418
399000-399500,500,23.0560,0.046112
399500-400000,500,29.0744,0.058149
400000-400500,500,29.9360,0.059872
400500-401000,500,26.1964,0.052393
401000-401500,500,31.8895,0.063779
401500-402000,500,32.9338,0.065868
402000-402500,500,37.6141,0.075228
402500-403000,500,25.8726,0.051745
403000-403500,500,30.7653,0.061531
403500-404000,500,23.3748,0.046750
404000-404500,500,29.4222,0.058844
404500-405000,500,30.0016,0.060003
405000-405500,500,27.6958,0.055392
405500-406000,500,33.8695,0.067739
406000-406500,500,24.6815,0.049363
406500-407000,500,27.6591,0.055318
407000-407500,500,29.6685,0.059337
407500-408000,500,24.6957,0.049391
408000-408500,500,32.1461,0.064292
408500-409000,500,26.1094,0.052219
409000-409500,500,34.1757,0.068351
409500-410000,500,32.6838,0.065368
410000-410500,500,24.9251,0.049850
410500-411000,500,32.8967,0.065793
411000-411500,500,33.9006,0.067801
411500-412000,500,31.5278,0.063056
412000-412500,500,29.1555,0.058311
412500-413000,500,33.2388,0.066478
413000-413500,500,33.2747,0.066549
413500-414000,500,36.6945,0.073389
414000-414500,500,28.3257,0.056651
414500-415000,500,22.6228,0.045246
415000-415500,500,34.4291,0.068858
415500-416000,500,29.3474,0.058695
416000-416500,500,23.6224,0.047245
416500-417000,500,26.6434,0.053287
417000-417500,500,36.2021,0.072404
417500-418000,500,30.9717,0.061943
418000-418500,500,29.3061,0.058612
418500-419000,500,24.4869,0.048974
419000-419500,500,29.3550,0.058710
419500-420000,500,30.2909,0.060582
420000-420500,500,21.8306,0.043661
420500-421000,500,26.4638,0.052928
421000-421500,500,27.6977,0.055395
421500-422000,500,27.8313,0.055663
422000-422500,500,32.1547,0.064309
422500-423000,500,41.1315,0.082263
423000-423500,500,27.3325,0.054665
423500-424000,500,25.6154,0.051231
424000-424500,500,29.8139,0.059628
424500-425000,500,29.1116,0.058223
425000-425500,500,22.2468,0.044494
425500-426000,500,35.2556,0.070511
426000-426500,500,29.2944,0.058589
426500-427000,500,28.6556,0.057311
427000-427500,500,31.2200,0.062440
427500-428000,500,34.0119,0.068024
428000-428500,500,26.9022,0.053804
428500-429000,500,26.8295,0.053659
429000-429500,500,25.6427,0.051285
429500-430000,500,39.4438,0.078888
430000-430500,500,26.2840,0.052568
430500-431000,500,29.7748,0.059550
431000-431500,500,30.1078,0.060216
431500-432000,500,21.0650,0.042130
432000-432500,500,29.9178,0.059836
432500-433000,500,25.3756,0.050751
433000-433500,500,36.8810,0.073762
433500-434000,500,31.5423,0.063085
434000-434500,500,39.3252,0.078650
434500-435000,500,28.4532,0.056906
435000-435500,500,48.1059,0.096212
435500-436000,500,29.2536,0.058507
436000-436500,500,25.6003,0.051201
436500-437000,500,25.2260,0.050452
437000-437500,500,29.9847,0.059969
437500-438000,500,28.1662,0.056332
438000-438500,500,27.3173,0.054635
438500-439000,500,24.3849,0.048770
439000-439500,500,24.5098,0.049020
439500-440000,500,26.5833,0.053167
440000-440500,500,25.8261,0.051652
440500-441000,500,25.4744,0.050949
441000-441500,500,27.1751,0.054350
441500-442000,500,26.0219,0.052044
442000-442500,500,27.0184,0.054037
442500-443000,500,29.8070,0.059614
443000-443500,500,24.1424,0.048285
443500-444000,500,20.3346,0.040669
444000-444500,500,38.6105,0.077221
444500-445000,500,35.5558,0.071112
445000-445500,500,30.7929,0.061586
445500-446000,500,32.5290,0.065058
446000-446500,500,25.0121,0.050024
446500-447000,500,27.2506,0.054501
447000-447500,500,29.0999,0.058200
447500-448000,500,40.4697,0.080939
448000-448500,500,25.2910,0.050582
448500-449000,500,28.6420,0.057284
449000-449500,500,32.1776,0.064355
449500-450000,500,29.8504,0.059701
450000-450500,500,27.9036,0.055807
450500-451000,500,31.2522,0.062504
451000-451500,500,33.7810,0.067562
451500-452000,500,25.4576,0.050915
452000-452500,500,27.4583,0.054917
452500-453000,500,44.6272,0.089254
453000-453500,500,31.2628,0.062526
453500-454000,500,32.8483,0.065697
454000-454500,500,28.1810,0.056362
454500-455000,500,32.4471,0.064894
455000-455500,500,28.8713,0.057743
455500-456000,500,26.2056,0.052411
456000-456500,500,31.1378,0.062276
456500-457000,500,29.8511,0.059702
457000-457500,500,30.0314,0.060063
457500-458000,500,25.6741,0.051348
458000-458500,500,36.1089,0.072218
458500-459000,500,27.7507,0.055501
459000-459500,500,36.2494,0.072499
459500-460000,500,31.8703,0.063741
460000-460500,500,28.4354,0.056871
460500-461000,500,30.3694,0.060739
461000-461500,500,32.8943,0.065789
461500-462000,500,29.5714,0.059143
462000-462500,500,27.9668,0.055934
462500-463000,500,30.1778,0.060356
463000-463500,500,40.4170,0.080834
463500-464000,500,23.4482,0.046896
464000-464500,500,23.7236,0.047447
464500-465000,500,34.7687,0.069537
465000-465500,500,33.4526,0.066905
465500-466000,500,24.8902,0.049780
466000-466500,500,29.1344,0.058269
466500-467000,500,29.5363,0.059073
467000-467500,500,31.0028,0.062006
467500-468000,500,34.9493,0.069899
468000-468500,500,18.7691,0.037538
468500-469000,500,32.2881,0.064576
469000-469500,500,28.0868,0.056174
469500-470000,500,41.3600,0.082720
470000-470500,500,29.2726,0.058545
470500-471000,500,31.1344,0.062269
471000-471500,500,27.7611,0.055522
471500-472000,500,27.2131,0.054426
472000-472500,500,31.6149,0.063230
472500-473000,500,23.4141,0.046828
473000-473500,500,35.4311,0.070862
473500-474000,500,26.1479,0.052296
474000-474500,500,28.3537,0.056707
474500-475000,500,31.8522,0.063704
475000-475500,500,32.7825,0.065565
475500-476000,500,35.9056,0.071811
476000-476500,500,34.2822,0.068564
476500-477000,500,25.4524,0.050905
477000-477500,500,28.4022,0.056804
477500-478000,500,27.5559,0.055112
478000-478500,500,29.7547,0.059509
478500-479000,500,42.7294,0.085459
479000-479500,500,25.9915,0.051983
479500-480000,500,31.1982,0.062396
480000-480500,500,29.3109,0.058622
480500-481000,500,28.7684,0.057537
481000-481500,500,27.1013,0.054203
481500-482000,500,26.7768,0.053554
482000-482500,500,29.1860,0.058372
482500-483000,500,28.7095,0.057419
483000-483500,500,30.5768,0.061154
483500-484000,500,33.1073,0.066215
484000-484500,500,35.8453,0.071691
484500-485000,500,32.5870,0.065174
485000-485500,500,29.0502,0.058100
485500-486000,500,26.0352,0.052070
486000-486500,500,32.9097,0.065819
486500-487000,500,31.4781,0.062956
487000-487500,500,24.8971,0.049794
487500-488000,500,32.1165,0.064233
488000-488500,500,34.0417,0.068083
488500-489000,500,35.1474,0.070295
489000-489500,500,24.1183,0.048237
489500-490000,500,25.4089,0.050818
490000-490500,500,34.4673,0.068935
490500-491000,500,26.2177,0.052435
491000-491500,500,27.6242,0.055248
491500-492000,500,22.2252,0.044450
492000-492500,500,27.7255,0.055451
492500-493000,500,28.9966,0.057993
493000-493500,500,35.0975,0.070195
493500-494000,500,34.8196,0.069639
494000-494500,500,28.9132,0.057826
494500-495000,500,22.9140,0.045828
495000-495500,500,25.0995,0.050199
495500-496000,500,31.6068,0.063214
496000-496500,500,31.1054,0.062211
496500-497000,500,28.1114,0.056223
497000-497500,500,29.7482,0.059496
497500-498000,500,24.1207,0.048241
498000-498500,500,33.6339,0.067268
498500-499000,500,31.3971,0.062794
499000-499500,500,28.8614,0.057723
499500-500000,500,25.4318,0.050864
500000-500500,500,30.5942,0.061188
500500-501000,500,31.6728,0.063346
501000-501500,500,22.0949,0.044190
501500-502000,500,27.5486,0.055097
502000-502500,500,27.2926,0.054585
502500-503000,500,28.0546,0.056109
503000-503500,500,24.1804,0.048361
503500-504000,500,27.2944,0.054589
504000-504500,500,40.4551,0.080910
504500-505000,500,27.5737,0.055147
505000-505500,500,32.4406,0.064881
505500-506000,500,33.2930,0.066586
506000-506500,500,26.8214,0.053643
506500-507000,500,26.1119,0.052224
507000-507500,500,32.3611,0.064722
507500-508000,500,30.1099,0.060220
508000-508500,500,30.6421,0.061284
508500-509000,500,28.0813,0.056163
509000-509500,500,27.3388,0.054678
509500-510000,500,32.9109,0.065822
510000-510500,500,34.4259,0.068852
510500-511000,500,21.9392,0.043878
511000-511500,500,30.8513,0.061703
511500-512000,500,26.0231,0.052046
512000-512500,500,30.7525,0.061505
512500-513000,500,35.1958,0.070392
513000-513500,500,28.7500,0.057500
513500-514000,500,25.9984,0.051997
514000-514500,500,30.7079,0.061416
514500-515000,500,22.2510,0.044502
515000-515500,500,29.8747,0.059749
515500-516000,500,29.5060,0.059012
516000-516500,500,33.3515,0.066703
516500-517000,500,31.8933,0.063787
517000-517500,500,30.0504,0.060101
517500-518000,500,38.1178,0.076236
518000-518500,500,27.6153,0.055231
518500-519000,500,28.0634,0.056127
519000-519500,500,29.3355,0.058671
519500-520000,500,26.4081,0.052816
520000-520500,500,23.7255,0.047451
520500-521000,500,24.8565,0.049713
521000-521500,500,29.5478,0.059096
521500-522000,500,28.9866,0.057973
522000-522500,500,29.6492,0.059298
522500-523000,500,25.5636,0.051127
523000-523500,500,27.0602,0.054120
523500-524000,500,25.5633,0.051127
524000-524500,500,30.3543,0.060709
524500-525000,500,26.4208,0.052842
525000-525500,500,25.4755,0.050951
525500-526000,500,25.2949,0.050590
526000-526500,500,31.6112,0.063222
526500-527000,500,26.4306,0.052861
527000-527500,500,29.5427,0.059085
527500-528000,500,24.1032,0.048206
528000-528500,500,24.7162,0.049432
528500-529000,500,32.1662,0.064332
529000-529500,500,35.7628,0.071526
529500-530000,500,27.8788,0.055758
530000-530500,500,24.2987,0.048597
530500-531000,500,32.8618,0.065724
531000-531500,500,33.3881,0.066776
531500-532000,500,29.4483,0.058897
532000-532500,500,36.2726,0.072545
532500-533000,500,31.5557,0.063111
533000-533500,500,27.4809,0.054962
533500-534000,500,29.2722,0.058544
534000-534500,500,35.1024,0.070205
534500-535000,500,41.5933,0.083187
535000-535500,500,30.3033,0.060607
535500-536000,500,26.3216,0.052643
536000-536500,500,24.1968,0.048394
536500-537000,500,34.7978,0.069596
537000-537500,500,29.5144,0.059029
537500-538000,500,26.5831,0.053166
538000-538500,500,28.6491,0.057298
538500-539000,500,28.0037,0.056007
539000-539500,500,27.2412,0.054482
539500-540000,500,37.0700,0.074140
540000-540500,500,33.7778,0.067556
540500-541000,500,29.3826,0.058765
541000-541500,500,28.3172,0.056634
541500-542000,500,25.6354,0.051271
542000-542500,500,28.5645,0.057129
542500-543000,500,28.2969,0.056594
543000-543500,500,26.3957,0.052791
543500-544000,500,37.8368,0.075674
544000-544500,500,28.2659,0.056532
544500-545000,500,25.4702,0.050940
545000-545500,500,32.8268,0.065654
545500-546000,500,31.8764,0.063753
546000-546500,500,23.3157,0.046631
546500-547000,500,31.9630,0.063926
547000-547500,500,31.4453,0.062891
547500-548000,500,24.4473,0.048895
548000-548500,500,25.2519,0.050504
548500-549000,500,28.2859,0.056572
549000-549500,500,29.4980,0.058996
549500-550000,500,32.4369,0.064874
550000-550500,500,30.8639,0.061728
550500-551000,500,26.0052,0.052010
551000-551500,500,27.7457,0.055491
551500-552000,500,27.3405,0.054681
552000-552500,500,29.7724,0.059545
552500-553000,500,32.9461,0.065892
553000-553500,500,21.1812,0.042362
553500-554000,500,31.7291,0.063458
554000-554500,500,28.0887,0.056177
554500-555000,500,32.6372,0.065274
555000-555500,500,29.3909,0.058782
555500-556000,500,28.3477,0.056695
556000-556500,500,30.6047,0.061209
556500-557000,500,30.0162,0.060032
557000-557500,500,32.7769,0.065554
557500-558000,500,29.7423,0.059485
558000-558500,500,40.1971,0.080394
558500-559000,500,31.1857,0.062371
559000-559500,500,30.8104,0.061621
559500-560000,500,28.2556,0.056511
560000-560500,500,28.8195,0.057639
560500-561000,500,33.6115,0.067223
561000-561500,500,25.9048,0.051810
561500-562000,500,29.1803,0.058361
562000-562500,500,32.1823,0.064365
562500-563000,500,37.3364,0.074673
563000-563500,500,28.3523,0.056705
563500-564000,500,24.8288,0.049658
564000-564500,500,21.3474,0.042695
564500-565000,500,19.8717,0.039743
565000-565500,500,22.2303,0.044461
565500-566000,500,22.0103,0.044021
566000-566500,500,21.3861,0.042772
566500-567000,500,18.9800,0.037960
567000-567500,500,19.9560,0.039912
567500-568000,500,21.2571,0.042514
568000-568500,500,23.1676,0.046335
568500-569000,500,21.8685,0.043737
569000-569500,500,21.5612,0.043122
569500-570000,500,22.9889,0.045978
570000-570500,500,18.1162,0.036232
570500-571000,500,21.6100,0.043220
571000-571500,500,21.5019,0.043004
571500-572000,500,19.7384,0.039477
572000-572500,500,19.5442,0.039088
572500-573000,500,20.3013,0.040603
573000-573500,500,20.5502,0.041100
573500-574000,500,23.2270,0.046454
574000-574500,500,21.5207,0.043041
574500-575000,500,21.6178,0.043236
575000-575500,500,25.1974,0.050395
575500-576000,500,23.2231,0.046446
576000-576500,500,25.0284,0.050057
576500-577000,500,22.0679,0.044136
577000-577500,500,21.8080,0.043616
577500-578000,500,23.4813,0.046963
578000-578500,500,22.1669,0.044334
578500-579000,500,22.3033,0.044607
579000-579500,500,21.4995,0.042999
579500-580000,500,22.8779,0.045756
580000-580500,500,22.9541,0.045908
580500-581000,500,20.3833,0.040767
581000-581500,500,21.2508,0.042502
581500-582000,500,22.6596,0.045319
582000-582500,500,20.2508,0.040502
582500-583000,500,18.7266,0.037453
583000-583500,500,19.9928,0.039986
583500-584000,500,24.8148,0.049630
584000-584500,500,21.9609,0.043922
584500-585000,500,23.6969,0.047394
585000-585500,500,24.0136,0.048027
585500-586000,500,24.8741,0.049748
586000-586500,500,21.2244,0.042449
586500-587000,500,24.9562,0.049912
587000-587500,500,26.3296,0.052659
587500-588000,500,24.3501,0.048700
588000-588500,500,24.7756,0.049551
588500-589000,500,18.7308,0.037462
589000-589500,500,28.0878,0.056176
589500-590000,500,25.2268,0.050454
590000-590500,500,26.4945,0.052989
590500-591000,500,20.8100,0.041620
591000-591500,500,24.3537,0.048707
591500-592000,500,24.6501,0.049300
592000-592500,500,22.1300,0.044260
592500-593000,500,20.3460,0.040692
593000-593500,500,23.9433,0.047887
593500-594000,500,24.2480,0.048496
594000-594500,500,20.7201,0.041440
594500-595000,500,22.6939,0.045388
595000-595500,500,22.5038,0.045008
595500-596000,500,22.1435,0.044287
596000-596500,500,22.2836,0.044567
596500-597000,500,24.5235,0.049047
597000-597500,500,23.7841,0.047568
597500-598000,500,24.1409,0.048282
598000-598500,500,23.4083,0.046817
598500-599000,500,22.0625,0.044125
599000-599500,500,22.0929,0.044186
599500-600000,500,22.5296,0.045059
600000-600500,500,21.0577,0.042115
600500-601000,500,26.1611,0.052322
601000-601500,500,20.9766,0.041953
601500-602000,500,21.6845,0.043369
602000-602500,500,24.2392,0.048478
602500-603000,500,23.7131,0.047426
603000-603500,500,20.3389,0.040678
603500-604000,500,22.6133,0.045227
604000-604500,500,22.4411,0.044882
604500-605000,500,22.5210,0.045042
605000-605500,500,24.0101,0.048020
605500-606000,500,25.6911,0.051382
606000-606500,500,22.4678,0.044936
606500-607000,500,30.0050,0.060010
607000-607500,500,23.7068,0.047414
607500-608000,500,22.0963,0.044193
608000-608500,500,21.3467,0.042693
608500-609000,500,25.0982,0.050196
609000-609500,500,23.9491,0.047898
609500-610000,500,24.8092,0.049618
610000-610500,500,29.2573,0.058515
610500-611000,500,21.3204,0.042641
611000-611500,500,28.9122,0.057824
611500-612000,500,21.5996,0.043199
612000-612500,500,19.8250,0.039650
612500-613000,500,22.1935,0.044387
613000-613500,500,24.5648,0.049130
613500-614000,500,22.6257,0.045251
614000-614500,500,25.9133,0.051827
614500-615000,500,23.4955,0.046991
615000-615500,500,21.2245,0.042449
615500-616000,500,24.8854,0.049771
616000-616500,500,21.1789,0.042358
616500-617000,500,22.3636,0.044727
617000-617500,500,26.2853,0.052571
617500-618000,500,23.7388,0.047478
618000-618500,500,25.6078,0.051216
618500-619000,500,22.3324,0.044665
619000-619500,500,23.3834,0.046767
619500-620000,500,22.3981,0.044796
620000-620500,500,20.5161,0.041032
620500-621000,500,20.8602,0.041720
621000-621500,500,23.3952,0.046790
621500-622000,500,21.7074,0.043415
622000-622500,500,21.5114,0.043023
622500-623000,500,22.6448,0.045290
623000-623500,500,22.6946,0.045389
623500-624000,500,20.4399,0.040880
624000-624500,500,20.4923,0.040985
624500-625000,500,24.1513,0.048303
625000-625500,500,18.7158,0.037432
625500-626000,500,22.4805,0.044961
626000-626500,500,20.1584,0.040317
626500-627000,500,21.9778,0.043956
627000-627500,500,21.8922,0.043784
627500-628000,500,22.2011,0.044402
628000-628500,500,22.5284,0.045057
628500-629000,500,22.0022,0.044004
629000-629500,500,18.9222,0.037844
629500-630000,500,22.1279,0.044256
630000-630500,500,24.9646,0.049929
630500-631000,500,19.6860,0.039372
631000-631500,500,21.0144,0.042029
631500-632000,500,21.2569,0.042514
632000-632500,500,24.2929,0.048586
632500-633000,500,23.3023,0.046605
633000-633500,500,23.1756,0.046351
633500-634000,500,22.9333,0.045867
634000-634500,500,21.9115,0.043823
634500-635000,500,22.9512,0.045902
635000-635500,500,26.1739,0.052348
635500-636000,500,25.1336,0.050267
636000-636500,500,21.3500,0.042700
636500-637000,500,24.8906,0.049781
637000-637500,500,23.8815,0.047763
637500-638000,500,23.3766,0.046753
638000-638500,500,19.8477,0.039695
638500-639000,500,22.9057,0.045811
639000-639500,500,19.1657,0.038331
639500-640000,500,23.1447,0.046289
640000-640500,500,24.1751,0.048350
640500-641000,500,22.7648,0.045530
641000-641500,500,28.0139,0.056028
641500-642000,500,24.4524,0.048905
642000-642500,500,19.9197,0.039839
642500-643000,500,23.4464,0.046893
643000-643500,500,24.9395,0.049879
643500-644000,500,22.6997,0.045399
644000-644500,500,22.1804,0.044361
644500-645000,500,24.3211,0.048642
645000-645500,500,24.8195,0.049639
645500-646000,500,24.0320,0.048064
646000-646500,500,20.4076,0.040815
646500-647000,500,21.2971,0.042594
647000-647500,500,21.8990,0.043798
647500-648000,500,24.9146,0.049829
648000-648500,500,22.1940,0.044388
648500-649000,500,20.1178,0.040236
649000-649500,500,20.2044,0.040409
649500-650000,500,22.3210,0.044642
650000-650500,500,24.4531,0.048906
650500-651000,500,22.8982,0.045796
651000-651500,500,24.7678,0.049536
651500-652000,500,22.7602,0.045520
652000-652500,500,24.1259,0.048252
652500-653000,500,23.9671,0.047934
653000-653500,500,25.0841,0.050168
653500-654000,500,24.1272,0.048254
654000-654500,500,24.8948,0.049790
654500-655000,500,21.0501,0.042100
655000-655500,500,20.6934,0.041387
655500-656000,500,22.1777,0.044355
656000-656500,500,26.8801,0.053760
656500-657000,500,21.2278,0.042456
657000-657500,500,21.3880,0.042776
657500-658000,500,25.8016,0.051603
658000-658500,500,24.0126,0.048025
658500-659000,500,22.8009,0.045602
659000-659500,500,23.1365,0.046273
659500-660000,500,21.6712,0.043342
660000-660500,500,21.2436,0.042487
660500-661000,500,22.8223,0.045645
661000-661500,500,23.6362,0.047272
661500-662000,500,23.5137,0.047027
662000-662500,500,25.3104,0.050621
662500-663000,500,27.2196,0.054439
663000-663500,500,25.1745,0.050349
663500-664000,500,21.9281,0.043856
664000-664500,500,21.0438,0.042088
664500-665000,500,22.8161,0.045632
665000-665500,500,23.0205,0.046041
665500-666000,500,21.3093,0.042619
666000-666500,500,22.0206,0.044041
666500-667000,500,18.6969,0.037394
667000-667500,500,22.7157,0.045431
667500-668000,500,24.7278,0.049456
668000-668500,500,21.4264,0.042853
668500-669000,500,23.8852,0.047770
669000-669500,500,22.6951,0.045390
669500-670000,500,26.1138,0.052228
670000-670500,500,20.5237,0.041047
670500-671000,500,21.6875,0.043375
671000-671500,500,22.5021,0.045004
671500-672000,500,22.7630,0.045526
672000-672500,500,20.0413,0.040083
672500-673000,500,28.6003,0.057201
673000-673500,500,33.2947,0.066589
673500-674000,500,24.6444,0.049289
674000-674500,500,23.4144,0.046829
674500-675000,500,20.2527,0.040505
675000-675500,500,20.6812,0.041362
675500-676000,500,21.1783,0.042357
676000-676500,500,22.1414,0.044283
676500-677000,500,21.1797,0.042359
677000-677500,500,20.6745,0.041349
677500-678000,500,26.0860,0.052172
678000-678500,500,19.0482,0.038096
678500-679000,500,20.4641,0.040928
679000-679500,500,21.1203,0.042241
679500-680000,500,23.2800,0.046560
680000-680500,500,22.4939,0.044988
680500-681000,500,21.5882,0.043176
681000-681500,500,21.5948,0.043190
681500-682000,500,23.5895,0.047179
682000-682500,500,22.3382,0.044676
682500-683000,500,20.1644,0.040329
683000-683500,500,24.9467,0.049893
683500-684000,500,27.5403,0.055081
684000-684500,500,25.5205,0.051041
684500-685000,500,23.4458,0.046892
685000-685500,500,25.1268,0.050254
685500-686000,500,22.8729,0.045746
686000-686500,500,28.6547,0.057309
686500-687000,500,21.3546,0.042709
687000-687500,500,23.5226,0.047045
687500-688000,500,23.5440,0.047088
688000-688500,500,20.9703,0.041941
688500-689000,500,24.3304,0.048661
689000-689500,500,24.0412,0.048082
689500-690000,500,26.4071,0.052814
690000-690500,500,24.4800,0.048960
690500-691000,500,23.8610,0.047722
691000-691500,500,23.4804,0.046961
691500-692000,500,22.4210,0.044842
692000-692500,500,22.4433,0.044887
692500-693000,500,24.8795,0.049759
693000-693500,500,22.4370,0.044874
693500-694000,500,24.9003,0.049801
694000-694500,500,23.7439,0.047488
694500-695000,500,26.1652,0.052330
695000-695500,500,22.4948,0.044990
695500-696000,500,20.1220,0.040244
696000-696500,500,21.0896,0.042179
696500-697000,500,21.0261,0.042052
697000-697500,500,22.6877,0.045375
697500-698000,500,22.5576,0.045115
698000-698500,500,23.3923,0.046785
698500-699000,500,25.5356,0.051071
699000-699500,500,23.9688,0.047938
699500-700000,500,24.3148,0.048630
700000-700500,500,25.0402,0.050080
700500-701000,500,20.7327,0.041465
701000-701500,500,21.8712,0.043742
701500-702000,500,19.9777,0.039955
702000-702500,500,21.1046,0.042209
702500-703000,500,22.4432,0.044886
703000-703500,500,23.0997,0.046199
703500-704000,500,25.2342,0.050468
704000-704500,500,24.5540,0.049108
704500-705000,500,25.4118,0.050824
705000-705500,500,21.2632,0.042526
705500-706000,500,21.8407,0.043681
706000-706500,500,20.7100,0.041420
706500-707000,500,22.2102,0.044420
707000-707500,500,23.6385,0.047277
707500-708000,500,23.1853,0.046371
708000-708500,500,24.6377,0.049275
708500-709000,500,24.6353,0.049271
709000-709500,500,25.2545,0.050509
709500-710000,500,19.3009,0.038602
710000-710500,500,22.3619,0.044724
710500-711000,500,19.5031,0.039006
711000-711500,500,20.7043,0.041409
711500-712000,500,25.9041,0.051808
712000-712500,500,22.3674,0.044735
712500-713000,500,23.7118,0.047424
713000-713500,500,21.0706,0.042141
713500-714000,500,23.2538,0.046508
714000-714500,500,22.7508,0.045502
714500-715000,500,26.1916,0.052383
715000-715500,500,21.8300,0.043660
715500-716000,500,19.0236,0.038047
716000-716500,500,19.7839,0.039568
716500-717000,500,21.8440,0.043688
717000-717500,500,22.2325,0.044465
717500-718000,500,20.9315,0.041863
718000-718500,500,21.3803,0.042761
718500-719000,500,24.9921,0.049984
719000-719500,500,21.0891,0.042178
719500-720000,500,20.5362,0.041072
720000-720500,500,21.7143,0.043429
720500-721000,500,22.3714,0.044743
721000-721500,500,23.4348,0.046870
721500-722000,500,21.0082,0.042016
722000-722500,500,21.0961,0.042192
722500-723000,500,20.9787,0.041957
723000-723500,500,22.5096,0.045019
723500-724000,500,23.9202,0.047840
724000-724500,500,19.3572,0.038714
724500-725000,500,22.7442,0.045488
725000-725500,500,21.7196,0.043439
725500-726000,500,23.6701,0.047340
726000-726500,500,24.9041,0.049808
726500-727000,500,23.4472,0.046894
727000-727500,500,19.3411,0.038682
727500-728000,500,24.0452,0.048090
728000-728500,500,24.2278,0.048456
728500-729000,500,23.9208,0.047842
729000-729500,500,20.8139,0.041628
729500-730000,500,21.4172,0.042834
730000-730500,500,22.3705,0.044741
730500-731000,500,20.3874,0.040775
731000-731500,500,20.5691,0.041138
731500-732000,500,20.8803,0.041761
732000-732500,500,19.3872,0.038774
732500-733000,500,23.3896,0.046779
733000-733500,500,20.5102,0.041020
733500-734000,500,20.4358,0.040872
734000-734500,500,23.9165,0.047833
734500-735000,500,23.1341,0.046268
735000-735500,500,23.1227,0.046245
735500-736000,500,19.9649,0.039930
736000-736500,500,27.8800,0.055760
736500-737000,500,22.3030,0.044606
737000-737500,500,21.3073,0.042615
737500-738000,500,25.4302,0.050860
738000-738500,500,31.8507,0.063701
738500-739000,500,22.9824,0.045965
739000-739500,500,25.0712,0.050142
739500-740000,500,23.8723,0.047745
740000-740500,500,23.7581,0.047516
740500-741000,500,20.3181,0.040636
741000-741500,500,22.6072,0.045214
741500-742000,500,18.4103,0.036821
742000-742500,500,20.6952,0.041390
742500-743000,500,22.0095,0.044019
743000-743500,500,20.9744,0.041949
743500-744000,500,25.5755,0.051151
744000-744500,500,23.5701,0.047140
744500-745000,500,19.6872,0.039374
745000-745500,500,24.8151,0.049630
745500-746000,500,26.7539,0.053508
746000-746500,500,22.3837,0.044767
746500-747000,500,23.7408,0.047482
747000-747500,500,24.9076,0.049815
747500-748000,500,22.1827,0.044365
748000-748500,500,25.2781,0.050556
748500-749000,500,24.1297,0.048259
749000-749500,500,22.5968,0.045194
749500-750000,500,23.6084,0.047217
750000-750500,500,24.1142,0.048228
750500-751000,500,21.0788,0.042158
751000-751500,500,23.4074,0.046815
751500-752000,500,21.8149,0.043630
752000-752500,500,21.6377,0.043275
752500-753000,500,18.3771,0.036754
753000-753500,500,23.6249,0.047250
753500-754000,500,21.1460,0.042292
754000-754500,500,25.1831,0.050366
754500-755000,500,22.3912,0.044782
755000-755500,500,21.8098,0.043620
755500-756000,500,23.9743,0.047949
756000-756500,500,21.6846,0.043369
756500-757000,500,22.1685,0.044337
757000-757500,500,21.5837,0.043167
757500-758000,500,24.5360,0.049072
758000-758500,500,23.1650,0.046330
758500-759000,500,23.5752,0.047150
759000-759500,500,27.5293,0.055059
759500-760000,500,21.3763,0.042753
760000-760500,500,24.6223,0.049245
760500-761000,500,28.7514,0.057503
761000-761500,500,20.8374,0.041675
761500-762000,500,20.7689,0.041538
762000-762500,500,23.0831,0.046166
762500-763000,500,23.5475,0.047095
763000-763500,500,23.1789,0.046358
763500-764000,500,24.8124,0.049625
764000-764500,500,22.0242,0.044048
764500-765000,500,19.7541,0.039508
765000-765500,500,23.2386,0.046477
765500-766000,500,20.6929,0.041386
766000-766500,500,30.0335,0.060067
766500-767000,500,24.3014,0.048603
767000-767500,500,22.8403,0.045681
767500-768000,500,25.3615,0.050723
768000-768500,500,29.2338,0.058468
768500-769000,500,24.7719,0.049544
769000-769500,500,22.9340,0.045868
769500-770000,500,24.4717,0.048943
770000-770500,500,25.2454,0.050491
770500-771000,500,24.8331,0.049666
771000-771500,500,23.2418,0.046484
771500-772000,500,21.1412,0.042282
772000-772500,500,28.7584,0.057517
772500-773000,500,21.8790,0.043758
