Step Range,Steps,Time (seconds),Time per Step (seconds)
88000-88500,500,22.6297,0.045259
88500-89000,500,25.7055,0.051411
89000-89500,500,31.1183,0.062237
89500-90000,500,22.3524,0.044705
90000-90500,500,21.7617,0.043523
90500-91000,500,20.8691,0.041738
91000-91500,500,22.9074,0.045815
91500-92000,500,20.1999,0.040400
92000-92500,500,18.6405,0.037281
92500-93000,500,21.5020,0.043004
93000-93500,500,20.7273,0.041455
93500-94000,500,19.9779,0.039956
94000-94500,500,21.5681,0.043136
94500-95000,500,21.6270,0.043254
95000-95500,500,20.4971,0.040994
95500-96000,500,21.2816,0.042563
96000-96500,500,20.6303,0.041261
96500-97000,500,22.6906,0.045381
97000-97500,500,19.2085,0.038417
97500-98000,500,18.5390,0.037078
98000-98500,500,21.0187,0.042037
98500-99000,500,20.5377,0.041075
99000-99500,500,20.6710,0.041342
99500-100000,500,18.8141,0.037628
100000-100500,500,19.5466,0.039093
100500-101000,500,19.5578,0.039116
101000-101500,500,20.3073,0.040615
101500-102000,500,21.7998,0.043600
102000-102500,500,19.0175,0.038035
102500-103000,500,21.0440,0.042088
103000-103500,500,22.6516,0.045303
103500-104000,500,21.6983,0.043397
104000-104500,500,19.8563,0.039713
104500-105000,500,19.8285,0.039657
105000-105500,500,20.5623,0.041125
105500-106000,500,20.3509,0.040702
106000-106500,500,23.8515,0.047703
106500-107000,500,19.8868,0.039774
107000-107500,500,21.7230,0.043446
107500-108000,500,20.3706,0.040741
108000-108500,500,21.4570,0.042914
108500-109000,500,18.5045,0.037009
109000-109500,500,22.1897,0.044379
109500-110000,500,21.8313,0.043663
110000-110500,500,20.8941,0.041788
110500-111000,500,19.5492,0.039098
111000-111500,500,19.1046,0.038209
111500-112000,500,19.5204,0.039041
112000-112500,500,19.3299,0.038660
112500-113000,500,22.0961,0.044192
113000-113500,500,21.3219,0.042644
113500-114000,500,19.5997,0.039199
114000-114500,500,20.4145,0.040829
114500-115000,500,21.1631,0.042326
115000-115500,500,21.5310,0.043062
115500-116000,500,19.2504,0.038501
116000-116500,500,18.9777,0.037955
116500-117000,500,19.7938,0.039588
117000-117500,500,21.4125,0.042825
117500-118000,500,21.7139,0.043428
118000-118500,500,20.5256,0.041051
118500-119000,500,21.8469,0.043694
119000-119500,500,22.2812,0.044562
119500-120000,500,21.0028,0.042006
120000-120500,500,19.5466,0.039093
120500-121000,500,20.9828,0.041966
121000-121500,500,20.1101,0.040220
121500-122000,500,21.7700,0.043540
122000-122500,500,21.4735,0.042947
122500-123000,500,21.9673,0.043935
123000-123500,500,18.5305,0.037061
123500-124000,500,21.9147,0.043829
124000-124500,500,22.9037,0.045807
124500-125000,500,23.2242,0.046448
125000-125500,500,21.2018,0.042404
125500-126000,500,22.2341,0.044468
126000-126500,500,20.6574,0.041315
126500-127000,500,19.3253,0.038651
127000-127500,500,23.4621,0.046924
127500-128000,500,21.0799,0.042160
128000-128500,500,19.1781,0.038356
128500-129000,500,17.1214,0.034243
129000-129500,500,17.1612,0.034322
129500-130000,500,18.0088,0.036018
130000-130500,500,18.3329,0.036666
130500-131000,500,18.2018,0.036404
131000-131500,500,18.3621,0.036724
131500-132000,500,18.5482,0.037096
132000-132500,500,17.3857,0.034771
132500-133000,500,21.1731,0.042346
133000-133500,500,19.2228,0.038446
133500-134000,500,20.7822,0.041564
134000-134500,500,19.4326,0.038865
134500-135000,500,19.4764,0.038953
135000-135500,500,20.6484,0.041297
135500-136000,500,21.3813,0.042763
136000-136500,500,19.4496,0.038899
136500-137000,500,19.9969,0.039994
137000-137500,500,17.7492,0.035498
137500-138000,500,17.0829,0.034166
138000-138500,500,17.4819,0.034964
138500-139000,500,19.8293,0.039659
139000-139500,500,20.7299,0.041460
139500-140000,500,19.2666,0.038533
140000-140500,500,20.4319,0.040864
140500-141000,500,21.2708,0.042542
141000-141500,500,18.4835,0.036967
141500-142000,500,18.9664,0.037933
142000-142500,500,20.6474,0.041295
142500-143000,500,20.9973,0.041995
143000-143500,500,21.5314,0.043063
143500-144000,500,20.7115,0.041423
144000-144500,500,22.7463,0.045493
144500-145000,500,21.5684,0.043137
145000-145500,500,19.9188,0.039838
145500-146000,500,20.3313,0.040663
146000-146500,500,20.3143,0.040629
146500-147000,500,20.7006,0.041401
147000-147500,500,20.6117,0.041223
147500-148000,500,21.1098,0.042220
148000-148500,500,22.3073,0.044615
148500-149000,500,21.1804,0.042361
149000-149500,500,20.8807,0.041761
149500-150000,500,20.6084,0.041217
150000-150500,500,21.2728,0.042546
150500-151000,500,20.6872,0.041374
151000-151500,500,18.9845,0.037969
151500-152000,500,18.5628,0.037126
152000-152500,500,19.9881,0.039976
152500-153000,500,19.1905,0.038381
153000-153500,500,21.1402,0.042280
153500-154000,500,21.4966,0.042993
154000-154500,500,22.3263,0.044653
154500-155000,500,19.0530,0.038106
155000-155500,500,18.3475,0.036695
155500-156000,500,20.4150,0.040830
156000-156500,500,20.4813,0.040963
156500-157000,500,19.7322,0.039464
157000-157500,500,20.1776,0.040355
157500-158000,500,21.1002,0.042200
158000-158500,500,21.1586,0.042317
158500-159000,500,18.7409,0.037482
159000-159500,500,18.9109,0.037822
159500-160000,500,19.9663,0.039933
160000-160500,500,18.2559,0.036512
160500-161000,500,17.5011,0.035002
161000-161500,500,17.9251,0.035850
161500-162000,500,17.8499,0.035700
162000-162500,500,17.5284,0.035057
162500-163000,500,19.4503,0.038901
163000-163500,500,18.5986,0.037197
163500-164000,500,21.1533,0.042307
164000-164500,500,20.0061,0.040012
164500-165000,500,19.6610,0.039322
165000-165500,500,21.0431,0.042086
165500-166000,500,19.5882,0.039176
166000-166500,500,19.3899,0.038780
166500-167000,500,19.0627,0.038125
167000-167500,500,19.6822,0.039364
167500-168000,500,24.4442,0.048888
168000-168500,500,21.2997,0.042599
168500-169000,500,21.3126,0.042625
169000-169500,500,23.0239,0.046048
169500-170000,500,22.4374,0.044875
170000-170500,500,22.0804,0.044161
170500-171000,500,25.9683,0.051937
171000-171500,500,21.4288,0.042858
171500-172000,500,21.1965,0.042393
172000-172500,500,23.1918,0.046384
172500-173000,500,21.8304,0.043661
173000-173500,500,20.7582,0.041516
173500-174000,500,20.0467,0.040093
174000-174500,500,18.6711,0.037342
174500-175000,500,18.4657,0.036931
175000-175500,500,21.7679,0.043536
175500-176000,500,20.2866,0.040573
176000-176500,500,20.5312,0.041062
176500-177000,500,21.7992,0.043598
177000-177500,500,22.5023,0.045005
177500-178000,500,21.7080,0.043416
178000-178500,500,23.5141,0.047028
178500-179000,500,19.3202,0.038640
179000-179500,500,21.9389,0.043878
179500-180000,500,20.6879,0.041376
180000-180500,500,22.7874,0.045575
180500-181000,500,21.1747,0.042349
181000-181500,500,23.0472,0.046094
181500-182000,500,25.2364,0.050473
182000-182500,500,21.6835,0.043367
182500-183000,500,22.2741,0.044548
183000-183500,500,21.5792,0.043158
183500-184000,500,20.4260,0.040852
184000-184500,500,19.7209,0.039442
184500-185000,500,21.2053,0.042411
185000-185500,500,27.0822,0.054164
185500-186000,500,23.3811,0.046762
186000-186500,500,21.9075,0.043815
186500-187000,500,34.6060,0.069212
187000-187500,500,27.5072,0.055014
187500-188000,500,32.5456,0.065091
188000-188500,500,20.2950,0.040590
188500-189000,500,20.6926,0.041385
189000-189500,500,20.0354,0.040071
189500-190000,500,21.3093,0.042619
190000-190500,500,20.5405,0.041081
190500-191000,500,17.6702,0.035340
191000-191500,500,22.3123,0.044625
191500-192000,500,20.9941,0.041988
192000-192500,500,20.4537,0.040907
192500-193000,500,19.0987,0.038197
193000-193500,500,19.7054,0.039411
193500-194000,500,20.3898,0.040780
194000-194500,500,17.3137,0.034627
194500-195000,500,18.4791,0.036958
195000-195500,500,17.8132,0.035626
195500-196000,500,18.7044,0.037409
196000-196500,500,20.6186,0.041237
196500-197000,500,18.9010,0.037802
197000-197500,500,18.4128,0.036826
197500-198000,500,17.6545,0.035309
198000-198500,500,18.7788,0.037558
198500-199000,500,19.2158,0.038432
199000-199500,500,18.7109,0.037422
199500-200000,500,18.0638,0.036128
200000-200500,500,20.8771,0.041754
200500-201000,500,21.7456,0.043491
201000-201500,500,21.9336,0.043867
201500-202000,500,24.1787,0.048357
202000-202500,500,22.6687,0.045337
202500-203000,500,21.7934,0.043587
203000-203500,500,19.7653,0.039531
203500-204000,500,22.2812,0.044562
204000-204500,500,22.3443,0.044689
204500-205000,500,25.9080,0.051816
205000-205500,500,33.0634,0.066127
205500-206000,500,26.6142,0.053228
206000-206500,500,20.9388,0.041878
206500-207000,500,19.9021,0.039804
207000-207500,500,21.8635,0.043727
207500-208000,500,21.7949,0.043590
208000-208500,500,21.1276,0.042255
208500-209000,500,22.2915,0.044583
209000-209500,500,28.9637,0.057927
209500-210000,500,20.0583,0.040117
210000-210500,500,18.8366,0.037673
210500-211000,500,22.0762,0.044152
211000-211500,500,22.2660,0.044532
211500-212000,500,20.9988,0.041998
212000-212500,500,20.1072,0.040214
212500-213000,500,24.6179,0.049236
213000-213500,500,22.9947,0.045989
213500-214000,500,21.0120,0.042024
214000-214500,500,26.3300,0.052660
214500-215000,500,21.7548,0.043510
215000-215500,500,22.9944,0.045989
215500-216000,500,22.1383,0.044277
216000-216500,500,23.7136,0.047427
216500-217000,500,20.7896,0.041579
217000-217500,500,23.3206,0.046641
217500-218000,500,22.4423,0.044885
218000-218500,500,25.7787,0.051557
218500-219000,500,19.2199,0.038440
