#"Step","Potential Energy (kJ/mole)","Temperature (K)"
52500,-1302666.5560842343,402.7688620828279
53000,-1302649.7829023744,417.6160376326251
53500,-1302650.7523833972,369.16697899186545
54000,-1302683.1784187611,362.03313600852374
54500,-1302676.968431181,315.97181272613693
55000,-1302669.451998157,343.0989792476732
55500,-1302658.6706174398,316.5472050981973
56000,-1302664.6928801253,419.94537062874826
56500,-1302632.8659334849,358.33823518924356
57000,-1302636.0419072132,322.3135777696761
57500,-1302619.4100214946,301.7542546877603
58000,-1302634.4752626966,287.1504073515813
58500,-1302656.0780616074,271.82704999369963
59000,-1302649.2030458688,379.7604436371564
59500,-1302687.6842829685,431.65068982127394
60000,-1302636.1555601235,407.05691168351814
60500,-1302619.6641381255,375.96849983724644
61000,-1302663.0276422596,443.1069122225002
61500,-1302651.4497226002,372.210096638614
62000,-1302664.8605296058,447.0859915160145
62500,-1302641.1135374,366.86927470506566
63000,-1302637.8017261596,402.0520819818743
63500,-1302635.1757275995,522.5753701485359
64000,-1302652.865999481,361.1233765442644
64500,-1302639.0040178811,442.06143965118895
65000,-1302651.799461889,323.0276844374306
65500,-1302638.7298344471,360.0965843838467
66000,-1302665.2624579764,434.0985085207429
66500,-1302671.045319441,335.4159352211724
67000,-1302659.6387604466,282.7876043288871
67500,-1302667.4715811436,225.98625191113172
68000,-1302645.5157733113,446.34785856094305
68500,-1302663.6581958653,337.05498690108186
69000,-1302654.1985696752,305.04521893947157
69500,-1302671.9665421953,405.22332939401315
70000,-1302669.1945872975,318.1560464256015
70500,-1302665.5976133558,286.17563538717525
71000,-1302688.4548726885,256.2255193069328
71500,-1302668.3438910362,246.76948859844046
72000,-1302668.9023922305,332.12495968900373
72500,-1302653.719214324,389.94768973872647
73000,-1302678.6909348008,442.85262840128007
73500,-1302635.7896627411,401.0193264494157
74000,-1302650.640716756,501.3884395246665
74500,-1302584.5799887069,542.720495865631
75000,-1302609.6144385326,405.33077938216525
75500,-1302631.4280896285,441.70414671819015
76000,-1302637.4495559165,387.971140203259
76500,-1302624.8126775578,335.446929215027
77000,-1302636.1476323968,367.5019657223811
77500,-1302612.1997678,378.86938182682985
78000,-1302622.0026498486,311.94407179062046
78500,-1302663.5576564397,313.3269457242214
79000,-1302666.9566202916,327.12300643270163
79500,-1302663.8387067332,361.4900110036082
80000,-1302658.043166571,334.94230593539896
80500,-1302653.3900162552,350.2769504834488
81000,-1302651.4144359948,350.8924850997816
81500,-1302667.5375058744,368.4450362253585
82000,-1302653.2794718256,505.8466182408622
82500,-1302668.0620223703,367.62013007225744
83000,-1302676.6072163146,398.8723999415117
83500,-1302678.4618847414,398.33193644724474
84000,-1302657.8605497198,477.6065981522113
84500,-1302652.4074345366,383.1943699631082
85000,-1302637.2819136272,305.5981839302561
85500,-1302685.4196813386,300.41714429545846
86000,-1302686.6312152462,246.45270347085918
86500,-1302690.5337759515,402.76857643610714
87000,-1302666.6849563124,340.93195765401265
87500,-1302648.841918356,356.5479939775153
88000,-1302660.5524148652,466.6759685002013
88500,-1302667.0400565285,450.6439740565681
89000,-1302640.3119189637,334.50730927465423
89500,-1302657.6465149622,405.6558198559237
90000,-1302640.2660999845,354.2584754901379
90500,-1302651.3602186937,414.0802974191883
91000,-1302646.851392937,410.48170338575926
91500,-1302653.2215688005,471.9979496986886
92000,-1302631.916422778,294.1131378997445
92500,-1302648.9130959774,460.3790573760651
93000,-1302650.3873497518,456.98788925529715
93500,-1302649.0898923988,545.1975923977194
94000,-1302647.298546941,521.1887897281814
94500,-1302654.8160772775,449.2275229440943
95000,-1302624.599685688,351.156830379924
95500,-1302642.626790247,510.1537648037223
96000,-1302658.6694980392,456.98746390758174
96500,-1302640.7628140184,406.2041738674622
97000,-1302645.755129529,440.3408721340581
97500,-1302648.806574572,445.66988124905413
98000,-1302663.8459676495,390.44389645331773
98500,-1302687.8507184838,425.4163489940595
99000,-1302645.167156438,368.9811001589481
99500,-1302628.9049040985,425.2871452966105
100000,-1302649.4803347737,465.91632487855264
100500,-1302621.8003596424,398.13682028497976
101000,-1302649.3969664674,511.8967812087031
101500,-1302644.6964620359,400.6321517987434
102000,-1302648.827668906,488.45703003121235
102500,-1302628.5468993452,351.0264228166201
103000,-1302628.1648528683,396.944470008416
103500,-1302642.5734182673,360.59939647501557
104000,-1302653.045436409,368.2527238081705
104500,-1302659.075408081,258.03774686690974
