Step Range,Steps,Time (seconds),Time per Step (seconds)
88000-88500,500,14.8766,0.029753
88500-89000,500,15.5113,0.031023
89000-89500,500,15.0039,0.030008
89500-90000,500,14.5369,0.029074
90000-90500,500,15.2726,0.030545
90500-91000,500,14.9812,0.029962
91000-91500,500,14.4775,0.028955
91500-92000,500,14.4353,0.028871
92000-92500,500,15.9772,0.031954
92500-93000,500,15.0761,0.030152
93000-93500,500,14.8412,0.029682
93500-94000,500,15.7834,0.031567
94000-94500,500,15.3683,0.030737
94500-95000,500,15.1265,0.030253
95000-95500,500,15.6037,0.031207
95500-96000,500,15.6928,0.031386
96000-96500,500,15.3263,0.030653
96500-97000,500,15.4227,0.030845
97000-97500,500,15.5347,0.031069
97500-98000,500,15.4516,0.030903
98000-98500,500,15.8332,0.031666
98500-99000,500,15.7424,0.031485
99000-99500,500,15.4051,0.030810
99500-100000,500,14.5252,0.029050
100000-100500,500,14.6608,0.029322
100500-101000,500,15.2987,0.030597
101000-101500,500,15.2239,0.030448
101500-102000,500,15.5245,0.031049
102000-102500,500,16.0097,0.032019
102500-103000,500,14.9703,0.029941
103000-103500,500,14.3706,0.028741
103500-104000,500,15.4014,0.030803
104000-104500,500,14.8505,0.029701
104500-105000,500,15.1169,0.030234
105000-105500,500,15.0331,0.030066
105500-106000,500,15.1513,0.030303
106000-106500,500,15.0476,0.030095
106500-107000,500,14.3335,0.028667
107000-107500,500,14.6638,0.029328
107500-108000,500,14.8561,0.029712
108000-108500,500,14.4136,0.028827
108500-109000,500,14.8609,0.029722
109000-109500,500,15.1848,0.030370
109500-110000,500,14.6516,0.029303
110000-110500,500,15.1112,0.030222
110500-111000,500,14.6184,0.029237
111000-111500,500,15.3153,0.030631
111500-112000,500,16.0620,0.032124
112000-112500,500,14.8107,0.029621
112500-113000,500,15.0630,0.030126
113000-113500,500,15.1137,0.030227
113500-114000,500,14.6541,0.029308
114000-114500,500,14.8060,0.029612
114500-115000,500,15.2660,0.030532
115000-115500,500,15.3851,0.030770
115500-116000,500,14.8651,0.029730
116000-116500,500,14.9397,0.029879
116500-117000,500,15.7267,0.031453
117000-117500,500,15.8182,0.031636
117500-118000,500,15.7778,0.031556
118000-118500,500,15.1426,0.030285
118500-119000,500,14.4544,0.028909
119000-119500,500,14.8805,0.029761
119500-120000,500,14.8249,0.029650
120000-120500,500,16.0162,0.032032
120500-121000,500,15.2948,0.030590
121000-121500,500,15.4105,0.030821
121500-122000,500,14.8242,0.029648
122000-122500,500,15.8496,0.031699
122500-123000,500,15.7295,0.031459
123000-123500,500,15.6100,0.031220
123500-124000,500,14.8091,0.029618
124000-124500,500,15.0388,0.030078
124500-125000,500,14.5828,0.029166
125000-125500,500,15.7691,0.031538
125500-126000,500,14.9247,0.029849
126000-126500,500,15.4619,0.030924
126500-127000,500,15.3312,0.030662
127000-127500,500,14.6393,0.029279
127500-128000,500,15.6242,0.031248
128000-128500,500,20.3185,0.040637
128500-129000,500,16.2108,0.032422
129000-129500,500,14.7187,0.029437
129500-130000,500,15.0016,0.030003
130000-130500,500,14.6867,0.029373
130500-131000,500,14.7396,0.029479
131000-131500,500,15.0413,0.030083
131500-132000,500,14.7070,0.029414
132000-132500,500,15.5723,0.031145
132500-133000,500,15.2168,0.030434
133000-133500,500,14.6871,0.029374
133500-134000,500,14.7305,0.029461
134000-134500,500,15.1446,0.030289
134500-135000,500,14.5648,0.029130
135000-135500,500,15.5439,0.031088
135500-136000,500,15.3393,0.030679
136000-136500,500,16.8854,0.033771
136500-137000,500,15.4262,0.030852
137000-137500,500,14.6590,0.029318
137500-138000,500,14.8776,0.029755
138000-138500,500,14.6468,0.029294
138500-139000,500,15.0810,0.030162
139000-139500,500,15.1867,0.030373
139500-140000,500,14.9265,0.029853
140000-140500,500,15.0753,0.030151
140500-141000,500,14.8989,0.029798
141000-141500,500,14.0250,0.028050
141500-142000,500,15.5477,0.031095
142000-142500,500,14.3262,0.028652
142500-143000,500,15.5168,0.031034
143000-143500,500,14.5020,0.029004
143500-144000,500,14.4026,0.028805
144000-144500,500,15.9676,0.031935
144500-145000,500,14.9716,0.029943
145000-145500,500,16.1401,0.032280
145500-146000,500,15.6310,0.031262
146000-146500,500,14.5723,0.029145
146500-147000,500,16.4532,0.032906
147000-147500,500,16.0724,0.032145
147500-148000,500,15.0172,0.030034
148000-148500,500,15.5115,0.031023
148500-149000,500,15.0378,0.030076
149000-149500,500,14.4348,0.028870
149500-150000,500,13.9821,0.027964
150000-150500,500,14.6716,0.029343
150500-151000,500,14.6835,0.029367
151000-151500,500,14.7467,0.029493
151500-152000,500,15.5421,0.031084
152000-152500,500,14.3567,0.028713
152500-153000,500,14.5001,0.029000
153000-153500,500,14.9746,0.029949
153500-154000,500,14.6735,0.029347
154000-154500,500,14.9369,0.029874
154500-155000,500,15.1970,0.030394
155000-155500,500,15.0987,0.030197
155500-156000,500,15.8182,0.031636
156000-156500,500,15.4242,0.030848
156500-157000,500,15.5483,0.031097
157000-157500,500,15.1400,0.030280
157500-158000,500,14.6305,0.029261
158000-158500,500,15.1345,0.030269
158500-159000,500,15.8274,0.031655
159000-159500,500,15.2569,0.030514
159500-160000,500,14.9663,0.029933
160000-160500,500,15.3102,0.030620
160500-161000,500,14.4926,0.028985
161000-161500,500,15.3540,0.030708
161500-162000,500,14.8172,0.029634
162000-162500,500,15.4052,0.030810
162500-163000,500,15.2714,0.030543
163000-163500,500,16.0009,0.032002
163500-164000,500,14.9971,0.029994
164000-164500,500,15.2470,0.030494
164500-165000,500,15.4626,0.030925
165000-165500,500,15.5236,0.031047
165500-166000,500,15.3088,0.030618
